| 0 | Stefan | TRUE | 100.50000 | 0 | Bogdan | FALSE |
| 31 | Stefan | TRUE | 100.50000 | 31 | Bogdan | FALSE |
| 32 | Stefan | TRUE | 100.50000 | 32 | Bogdan | FALSE |
| 33 | Stefan | TRUE | 100.50000 | 33 | Bogdan | FALSE |
| 34 | Stefan | TRUE | 100.50000 | 34 | Bogdan | FALSE |
| 35 | Stefan | TRUE | 100.50000 | 35 | Bogdan | FALSE |
| 36 | Stefan | TRUE | 100.50000 | 36 | Bogdan | FALSE |
| 37 | Stefan | TRUE | 100.50000 | 37 | Bogdan | FALSE |
| 38 | Stefan | TRUE | 100.50000 | 38 | Bogdan | FALSE |
| 39 | Stefan | TRUE | 100.50000 | 39 | Bogdan | FALSE |
| 40 | Stefan | TRUE | 100.50000 | 40 | Bogdan | FALSE |
| 41 | Stefan | TRUE | 100.50000 | 41 | Bogdan | FALSE |
| 42 | Stefan | TRUE | 100.50000 | 42 | Bogdan | FALSE |
| 43 | Stefan | TRUE | 100.50000 | 43 | Bogdan | FALSE |
| 44 | Stefan | TRUE | 100.50000 | 44 | Bogdan | FALSE |
| 45 | Stefan | TRUE | 100.50000 | 45 | Bogdan | FALSE |
| 46 | Stefan | TRUE | 100.50000 | 46 | Bogdan | FALSE |
| 47 | Stefan | TRUE | 100.50000 | 47 | Bogdan | FALSE |
| 48 | Stefan | TRUE | 100.50000 | 48 | Bogdan | FALSE |
| 49 | Stefan | TRUE | 100.50000 | 49 | Bogdan | FALSE |
| 0 | Stefan | TRUE | 100.50000 | 0 | Bogdan | FALSE |
| 1 | Stefan | TRUE | 100.50000 | 1 | Bogdan | FALSE |
| 2 | Stefan | TRUE | 100.50000 | 2 | Bogdan | FALSE |
| 3 | Stefan | TRUE | 100.50000 | 3 | Bogdan | FALSE |
| 4 | Stefan | TRUE | 100.50000 | 4 | Bogdan | FALSE |
| 5 | Stefan | TRUE | 100.50000 | 5 | Bogdan | FALSE |
| 6 | Stefan | TRUE | 100.50000 | 6 | Bogdan | FALSE |
| 7 | Stefan | TRUE | 100.50000 | 7 | Bogdan | FALSE |
| 8 | Stefan | TRUE | 100.50000 | 8 | Bogdan | FALSE |
| 9 | Stefan | TRUE | 100.50000 | 9 | Bogdan | FALSE |
| 10 | Stefan | TRUE | 100.50000 | 10 | Bogdan | FALSE |
| 11 | Stefan | TRUE | 100.50000 | 11 | Bogdan | FALSE |
| 12 | Stefan | TRUE | 100.50000 | 12 | Bogdan | FALSE |
| 13 | Stefan | TRUE | 100.50000 | 13 | Bogdan | FALSE |
| 14 | Stefan | TRUE | 100.50000 | 14 | Bogdan | FALSE |
| 15 | Stefan | TRUE | 100.50000 | 15 | Bogdan | FALSE |
| 16 | Stefan | TRUE | 100.50000 | 16 | Bogdan | FALSE |
| 17 | Stefan | TRUE | 100.50000 | 17 | Bogdan | FALSE |
| 18 | Stefan | TRUE | 100.50000 | 18 | Bogdan | FALSE |
| 19 | Stefan | TRUE | 100.50000 | 19 | Bogdan | FALSE |
| 20 | Stefan | TRUE | 100.50000 | 20 | Bogdan | FALSE |
| 21 | Stefan | TRUE | 100.50000 | 21 | Bogdan | FALSE |
| 22 | Stefan | TRUE | 100.50000 | 22 | Bogdan | FALSE |
| 23 | Stefan | TRUE | 100.50000 | 23 | Bogdan | FALSE |
| 24 | Stefan | TRUE | 100.50000 | 24 | Bogdan | FALSE |
| 25 | Stefan | TRUE | 100.50000 | 25 | Bogdan | FALSE |
| 26 | Stefan | TRUE | 100.50000 | 26 | Bogdan | FALSE |
| 27 | Stefan | TRUE | 100.50000 | 27 | Bogdan | FALSE |
| 28 | Stefan | TRUE | 100.50000 | 28 | Bogdan | FALSE |
| 29 | Stefan | TRUE | 100.50000 | 29 | Bogdan | FALSE |
| 30 | Stefan | TRUE | 100.50000 | 30 | Bogdan | FALSE |
| 31 | Stefan | TRUE | 100.50000 | 31 | Bogdan | FALSE |
| 32 | Stefan | TRUE | 100.50000 | 32 | Bogdan | FALSE |
| 33 | Stefan | TRUE | 100.50000 | 33 | Bogdan | FALSE |
| 34 | Stefan | TRUE | 100.50000 | 34 | Bogdan | FALSE |
| 35 | Stefan | TRUE | 100.50000 | 35 | Bogdan | FALSE |
| 36 | Stefan | TRUE | 100.50000 | 36 | Bogdan | FALSE |
| 37 | Stefan | TRUE | 100.50000 | 37 | Bogdan | FALSE |
| 38 | Stefan | TRUE | 100.50000 | 38 | Bogdan | FALSE |
| 39 | Stefan | TRUE | 100.50000 | 39 | Bogdan | FALSE |
| 40 | Stefan | TRUE | 100.50000 | 40 | Bogdan | FALSE |
| 41 | Stefan | TRUE | 100.50000 | 41 | Bogdan | FALSE |
| 42 | Stefan | TRUE | 100.50000 | 42 | Bogdan | FALSE |
| 43 | Stefan | TRUE | 100.50000 | 43 | Bogdan | FALSE |
| 44 | Stefan | TRUE | 100.50000 | 44 | Bogdan | FALSE |
| 45 | Stefan | TRUE | 100.50000 | 45 | Bogdan | FALSE |
| 46 | Stefan | TRUE | 100.50000 | 46 | Bogdan | FALSE |
| 47 | Stefan | TRUE | 100.50000 | 47 | Bogdan | FALSE |
| 48 | Stefan | TRUE | 100.50000 | 48 | Bogdan | FALSE |
| 49 | Stefan | TRUE | 100.50000 | 49 | Bogdan | FALSE |
| 100 | Stefan | TRUE | 100.50000 | 100 | Bogdan | FALSE |
| 101 | Stefan | TRUE | 100.50000 | 101 | Bogdan | FALSE |
| 102 | Stefan | TRUE | 100.50000 | 102 | Bogdan | FALSE |
| 103 | Stefan | TRUE | 100.50000 | 103 | Bogdan | FALSE |
| 104 | Stefan | TRUE | 100.50000 | 104 | Bogdan | FALSE |
| 105 | Stefan | TRUE | 100.50000 | 105 | Bogdan | FALSE |
| 106 | Stefan | TRUE | 100.50000 | 106 | Bogdan | FALSE |
| 107 | Stefan | TRUE | 100.50000 | 107 | Bogdan | FALSE |
| 108 | Stefan | TRUE | 100.50000 | 108 | Bogdan | FALSE |
| 109 | Stefan | TRUE | 100.50000 | 109 | Bogdan | FALSE |
| 110 | Stefan | TRUE | 100.50000 | 110 | Bogdan | FALSE |
| 111 | Stefan | TRUE | 100.50000 | 111 | Bogdan | FALSE |
| 112 | Stefan | TRUE | 100.50000 | 112 | Bogdan | FALSE |
| 113 | Stefan | TRUE | 100.50000 | 113 | Bogdan | FALSE |
| 114 | Stefan | TRUE | 100.50000 | 114 | Bogdan | FALSE |
| 115 | Stefan | TRUE | 100.50000 | 115 | Bogdan | FALSE |
| 116 | Stefan | TRUE | 100.50000 | 116 | Bogdan | FALSE |
| 117 | Stefan | TRUE | 100.50000 | 117 | Bogdan | FALSE |
| 118 | Stefan | TRUE | 100.50000 | 118 | Bogdan | FALSE |
| 119 | Stefan | TRUE | 100.50000 | 119 | Bogdan | FALSE |
| 120 | Stefan | TRUE | 100.50000 | 120 | Bogdan | FALSE |
| 121 | Stefan | TRUE | 100.50000 | 121 | Bogdan | FALSE |
| 122 | Stefan | TRUE | 100.50000 | 122 | Bogdan | FALSE |
| 123 | Stefan | TRUE | 100.50000 | 123 | Bogdan | FALSE |
| 124 | Stefan | TRUE | 100.50000 | 124 | Bogdan | FALSE |
| 125 | Stefan | TRUE | 100.50000 | 125 | Bogdan | FALSE |
| 126 | Stefan | TRUE | 100.50000 | 126 | Bogdan | FALSE |
| 127 | Stefan | TRUE | 100.50000 | 127 | Bogdan | FALSE |
| 128 | Stefan | TRUE | 100.50000 | 128 | Bogdan | FALSE |
| 129 | Stefan | TRUE | 100.50000 | 129 | Bogdan | FALSE |
| 130 | Stefan | TRUE | 100.50000 | 130 | Bogdan | FALSE |
| 131 | Stefan | TRUE | 100.50000 | 131 | Bogdan | FALSE |
| 132 | Stefan | TRUE | 100.50000 | 132 | Bogdan | FALSE |
| 133 | Stefan | TRUE | 100.50000 | 133 | Bogdan | FALSE |
| 134 | Stefan | TRUE | 100.50000 | 134 | Bogdan | FALSE |
| 135 | Stefan | TRUE | 100.50000 | 135 | Bogdan | FALSE |
| 136 | Stefan | TRUE | 100.50000 | 136 | Bogdan | FALSE |
| 137 | Stefan | TRUE | 100.50000 | 137 | Bogdan | FALSE |
| 138 | Stefan | TRUE | 100.50000 | 138 | Bogdan | FALSE |
| 139 | Stefan | TRUE | 100.50000 | 139 | Bogdan | FALSE |
| 140 | Stefan | TRUE | 100.50000 | 140 | Bogdan | FALSE |
| 141 | Stefan | TRUE | 100.50000 | 141 | Bogdan | FALSE |
| 142 | Stefan | TRUE | 100.50000 | 142 | Bogdan | FALSE |
| 143 | Stefan | TRUE | 100.50000 | 143 | Bogdan | FALSE |
| 144 | Stefan | TRUE | 100.50000 | 144 | Bogdan | FALSE |
| 145 | Stefan | TRUE | 100.50000 | 145 | Bogdan | FALSE |
| 146 | Stefan | TRUE | 100.50000 | 146 | Bogdan | FALSE |
| 147 | Stefan | TRUE | 100.50000 | 147 | Bogdan | FALSE |
| 148 | Stefan | TRUE | 100.50000 | 148 | Bogdan | FALSE |
| 149 | Stefan | TRUE | 100.50000 | 149 | Bogdan | FALSE |
| 0 | Stefan | TRUE | 100.50000 | 0 | Bogdan | FALSE |
| 1 | Stefan | TRUE | 100.50000 | 1 | Bogdan | FALSE |
| 2 | Stefan | TRUE | 100.50000 | 2 | Bogdan | FALSE |
| 3 | Stefan | TRUE | 100.50000 | 3 | Bogdan | FALSE |
| 4 | Stefan | TRUE | 100.50000 | 4 | Bogdan | FALSE |
| 5 | Stefan | TRUE | 100.50000 | 5 | Bogdan | FALSE |
| 6 | Stefan | TRUE | 100.50000 | 6 | Bogdan | FALSE |
| 7 | Stefan | TRUE | 100.50000 | 7 | Bogdan | FALSE |
| 8 | Stefan | TRUE | 100.50000 | 8 | Bogdan | FALSE |
| 9 | Stefan | TRUE | 100.50000 | 9 | Bogdan | FALSE |
| 10 | Stefan | TRUE | 100.50000 | 10 | Bogdan | FALSE |
| 11 | Stefan | TRUE | 100.50000 | 11 | Bogdan | FALSE |
| 12 | Stefan | TRUE | 100.50000 | 12 | Bogdan | FALSE |
| 13 | Stefan | TRUE | 100.50000 | 13 | Bogdan | FALSE |
| 14 | Stefan | TRUE | 100.50000 | 14 | Bogdan | FALSE |
| 15 | Stefan | TRUE | 100.50000 | 15 | Bogdan | FALSE |
| 16 | Stefan | TRUE | 100.50000 | 16 | Bogdan | FALSE |
| 17 | Stefan | TRUE | 100.50000 | 17 | Bogdan | FALSE |
| 18 | Stefan | TRUE | 100.50000 | 18 | Bogdan | FALSE |
| 19 | Stefan | TRUE | 100.50000 | 19 | Bogdan | FALSE |
| 20 | Stefan | TRUE | 100.50000 | 20 | Bogdan | FALSE |
| 21 | Stefan | TRUE | 100.50000 | 21 | Bogdan | FALSE |
| 22 | Stefan | TRUE | 100.50000 | 22 | Bogdan | FALSE |
| 23 | Stefan | TRUE | 100.50000 | 23 | Bogdan | FALSE |
| 24 | Stefan | TRUE | 100.50000 | 24 | Bogdan | FALSE |
| 25 | Stefan | TRUE | 100.50000 | 25 | Bogdan | FALSE |
| 26 | Stefan | TRUE | 100.50000 | 26 | Bogdan | FALSE |
| 27 | Stefan | TRUE | 100.50000 | 27 | Bogdan | FALSE |
| 28 | Stefan | TRUE | 100.50000 | 28 | Bogdan | FALSE |
| 29 | Stefan | TRUE | 100.50000 | 29 | Bogdan | FALSE |
| 30 | Stefan | TRUE | 100.50000 | 30 | Bogdan | FALSE |
| 31 | Stefan | TRUE | 100.50000 | 31 | Bogdan | FALSE |
| 32 | Stefan | TRUE | 100.50000 | 32 | Bogdan | FALSE |
| 33 | Stefan | TRUE | 100.50000 | 33 | Bogdan | FALSE |
| 34 | Stefan | TRUE | 100.50000 | 34 | Bogdan | FALSE |
| 35 | Stefan | TRUE | 100.50000 | 35 | Bogdan | FALSE |
| 36 | Stefan | TRUE | 100.50000 | 36 | Bogdan | FALSE |
| 37 | Stefan | TRUE | 100.50000 | 37 | Bogdan | FALSE |
| 38 | Stefan | TRUE | 100.50000 | 38 | Bogdan | FALSE |
| 39 | Stefan | TRUE | 100.50000 | 39 | Bogdan | FALSE |
| 40 | Stefan | TRUE | 100.50000 | 40 | Bogdan | FALSE |
| 41 | Stefan | TRUE | 100.50000 | 41 | Bogdan | FALSE |
| 42 | Stefan | TRUE | 100.50000 | 42 | Bogdan | FALSE |
| 43 | Stefan | TRUE | 100.50000 | 43 | Bogdan | FALSE |
| 44 | Stefan | TRUE | 100.50000 | 44 | Bogdan | FALSE |
| 45 | Stefan | TRUE | 100.50000 | 45 | Bogdan | FALSE |
| 46 | Stefan | TRUE | 100.50000 | 46 | Bogdan | FALSE |
| 47 | Stefan | TRUE | 100.50000 | 47 | Bogdan | FALSE |
| 48 | Stefan | TRUE | 100.50000 | 48 | Bogdan | FALSE |
| 49 | Stefan | TRUE | 100.50000 | 49 | Bogdan | FALSE |
| 100 | Stefan | TRUE | 100.50000 | 100 | Bogdan | FALSE |
| 101 | Stefan | TRUE | 100.50000 | 101 | Bogdan | FALSE |
| 102 | Stefan | TRUE | 100.50000 | 102 | Bogdan | FALSE |
| 103 | Stefan | TRUE | 100.50000 | 103 | Bogdan | FALSE |
| 104 | Stefan | TRUE | 100.50000 | 104 | Bogdan | FALSE |
| 105 | Stefan | TRUE | 100.50000 | 105 | Bogdan | FALSE |
| 106 | Stefan | TRUE | 100.50000 | 106 | Bogdan | FALSE |
| 107 | Stefan | TRUE | 100.50000 | 107 | Bogdan | FALSE |
| 108 | Stefan | TRUE | 100.50000 | 108 | Bogdan | FALSE |
| 109 | Stefan | TRUE | 100.50000 | 109 | Bogdan | FALSE |
| 110 | Stefan | TRUE | 100.50000 | 110 | Bogdan | FALSE |
| 111 | Stefan | TRUE | 100.50000 | 111 | Bogdan | FALSE |
| 112 | Stefan | TRUE | 100.50000 | 112 | Bogdan | FALSE |
| 113 | Stefan | TRUE | 100.50000 | 113 | Bogdan | FALSE |
| 114 | Stefan | TRUE | 100.50000 | 114 | Bogdan | FALSE |
| 115 | Stefan | TRUE | 100.50000 | 115 | Bogdan | FALSE |
| 116 | Stefan | TRUE | 100.50000 | 116 | Bogdan | FALSE |
| 117 | Stefan | TRUE | 100.50000 | 117 | Bogdan | FALSE |
| 118 | Stefan | TRUE | 100.50000 | 118 | Bogdan | FALSE |
| 119 | Stefan | TRUE | 100.50000 | 119 | Bogdan | FALSE |
| 120 | Stefan | TRUE | 100.50000 | 120 | Bogdan | FALSE |
| 121 | Stefan | TRUE | 100.50000 | 121 | Bogdan | FALSE |
| 122 | Stefan | TRUE | 100.50000 | 122 | Bogdan | FALSE |
| 123 | Stefan | TRUE | 100.50000 | 123 | Bogdan | FALSE |
| 124 | Stefan | TRUE | 100.50000 | 124 | Bogdan | FALSE |
| 125 | Stefan | TRUE | 100.50000 | 125 | Bogdan | FALSE |
| 126 | Stefan | TRUE | 100.50000 | 126 | Bogdan | FALSE |
| 127 | Stefan | TRUE | 100.50000 | 127 | Bogdan | FALSE |
| 128 | Stefan | TRUE | 100.50000 | 128 | Bogdan | FALSE |
| 129 | Stefan | TRUE | 100.50000 | 129 | Bogdan | FALSE |
| 130 | Stefan | TRUE | 100.50000 | 130 | Bogdan | FALSE |
| 131 | Stefan | TRUE | 100.50000 | 131 | Bogdan | FALSE |
| 132 | Stefan | TRUE | 100.50000 | 132 | Bogdan | FALSE |
| 133 | Stefan | TRUE | 100.50000 | 133 | Bogdan | FALSE |
| 134 | Stefan | TRUE | 100.50000 | 134 | Bogdan | FALSE |
| 135 | Stefan | TRUE | 100.50000 | 135 | Bogdan | FALSE |
| 136 | Stefan | TRUE | 100.50000 | 136 | Bogdan | FALSE |
| 137 | Stefan | TRUE | 100.50000 | 137 | Bogdan | FALSE |
| 138 | Stefan | TRUE | 100.50000 | 138 | Bogdan | FALSE |
| 139 | Stefan | TRUE | 100.50000 | 139 | Bogdan | FALSE |
| 140 | Stefan | TRUE | 100.50000 | 140 | Bogdan | FALSE |
| 141 | Stefan | TRUE | 100.50000 | 141 | Bogdan | FALSE |
| 142 | Stefan | TRUE | 100.50000 | 142 | Bogdan | FALSE |
| 143 | Stefan | TRUE | 100.50000 | 143 | Bogdan | FALSE |
| 144 | Stefan | TRUE | 100.50000 | 144 | Bogdan | FALSE |
| 145 | Stefan | TRUE | 100.50000 | 145 | Bogdan | FALSE |
| 146 | Stefan | TRUE | 100.50000 | 146 | Bogdan | FALSE |
| 147 | Stefan | TRUE | 100.50000 | 147 | Bogdan | FALSE |
| 148 | Stefan | TRUE | 100.50000 | 148 | Bogdan | FALSE |
| 149 | Stefan | TRUE | 100.50000 | 149 | Bogdan | FALSE |
| 200 | Stefan | TRUE | 100.50000 | 200 | Bogdan | FALSE |
| 201 | Stefan | TRUE | 100.50000 | 201 | Bogdan | FALSE |
| 202 | Stefan | TRUE | 100.50000 | 202 | Bogdan | FALSE |
| 203 | Stefan | TRUE | 100.50000 | 203 | Bogdan | FALSE |
| 204 | Stefan | TRUE | 100.50000 | 204 | Bogdan | FALSE |
| 205 | Stefan | TRUE | 100.50000 | 205 | Bogdan | FALSE |
| 206 | Stefan | TRUE | 100.50000 | 206 | Bogdan | FALSE |
| 207 | Stefan | TRUE | 100.50000 | 207 | Bogdan | FALSE |
| 208 | Stefan | TRUE | 100.50000 | 208 | Bogdan | FALSE |
| 209 | Stefan | TRUE | 100.50000 | 209 | Bogdan | FALSE |
| 210 | Stefan | TRUE | 100.50000 | 210 | Bogdan | FALSE |
| 211 | Stefan | TRUE | 100.50000 | 211 | Bogdan | FALSE |
| 212 | Stefan | TRUE | 100.50000 | 212 | Bogdan | FALSE |
| 213 | Stefan | TRUE | 100.50000 | 213 | Bogdan | FALSE |
| 214 | Stefan | TRUE | 100.50000 | 214 | Bogdan | FALSE |
| 215 | Stefan | TRUE | 100.50000 | 215 | Bogdan | FALSE |
| 216 | Stefan | TRUE | 100.50000 | 216 | Bogdan | FALSE |
| 217 | Stefan | TRUE | 100.50000 | 217 | Bogdan | FALSE |
| 218 | Stefan | TRUE | 100.50000 | 218 | Bogdan | FALSE |
| 219 | Stefan | TRUE | 100.50000 | 219 | Bogdan | FALSE |
| 220 | Stefan | TRUE | 100.50000 | 220 | Bogdan | FALSE |
| 221 | Stefan | TRUE | 100.50000 | 221 | Bogdan | FALSE |
| 222 | Stefan | TRUE | 100.50000 | 222 | Bogdan | FALSE |
| 223 | Stefan | TRUE | 100.50000 | 223 | Bogdan | FALSE |
| 224 | Stefan | TRUE | 100.50000 | 224 | Bogdan | FALSE |
| 225 | Stefan | TRUE | 100.50000 | 225 | Bogdan | FALSE |
| 226 | Stefan | TRUE | 100.50000 | 226 | Bogdan | FALSE |
| 227 | Stefan | TRUE | 100.50000 | 227 | Bogdan | FALSE |
| 228 | Stefan | TRUE | 100.50000 | 228 | Bogdan | FALSE |
| 229 | Stefan | TRUE | 100.50000 | 229 | Bogdan | FALSE |
| 230 | Stefan | TRUE | 100.50000 | 230 | Bogdan | FALSE |
| 231 | Stefan | TRUE | 100.50000 | 231 | Bogdan | FALSE |
| 232 | Stefan | TRUE | 100.50000 | 232 | Bogdan | FALSE |
| 233 | Stefan | TRUE | 100.50000 | 233 | Bogdan | FALSE |
| 234 | Stefan | TRUE | 100.50000 | 234 | Bogdan | FALSE |
| 235 | Stefan | TRUE | 100.50000 | 235 | Bogdan | FALSE |
| 236 | Stefan | TRUE | 100.50000 | 236 | Bogdan | FALSE |
| 237 | Stefan | TRUE | 100.50000 | 237 | Bogdan | FALSE |
| 238 | Stefan | TRUE | 100.50000 | 238 | Bogdan | FALSE |
| 239 | Stefan | TRUE | 100.50000 | 239 | Bogdan | FALSE |
| 240 | Stefan | TRUE | 100.50000 | 240 | Bogdan | FALSE |
| 241 | Stefan | TRUE | 100.50000 | 241 | Bogdan | FALSE |
| 242 | Stefan | TRUE | 100.50000 | 242 | Bogdan | FALSE |
| 243 | Stefan | TRUE | 100.50000 | 243 | Bogdan | FALSE |
| 244 | Stefan | TRUE | 100.50000 | 244 | Bogdan | FALSE |
| 245 | Stefan | TRUE | 100.50000 | 245 | Bogdan | FALSE |
| 246 | Stefan | TRUE | 100.50000 | 246 | Bogdan | FALSE |
| 247 | Stefan | TRUE | 100.50000 | 247 | Bogdan | FALSE |
| 248 | Stefan | TRUE | 100.50000 | 248 | Bogdan | FALSE |
| 249 | Stefan | TRUE | 100.50000 | 249 | Bogdan | FALSE |
| 0 | Stefan | TRUE | 100.50000 | 0 | Bogdan | FALSE |
| 1 | Stefan | TRUE | 100.50000 | 1 | Bogdan | FALSE |
| 2 | Stefan | TRUE | 100.50000 | 2 | Bogdan | FALSE |
| 3 | Stefan | TRUE | 100.50000 | 3 | Bogdan | FALSE |
| 4 | Stefan | TRUE | 100.50000 | 4 | Bogdan | FALSE |
| 5 | Stefan | TRUE | 100.50000 | 5 | Bogdan | FALSE |
| 6 | Stefan | TRUE | 100.50000 | 6 | Bogdan | FALSE |
| 7 | Stefan | TRUE | 100.50000 | 7 | Bogdan | FALSE |
| 8 | Stefan | TRUE | 100.50000 | 8 | Bogdan | FALSE |
| 9 | Stefan | TRUE | 100.50000 | 9 | Bogdan | FALSE |
| 10 | Stefan | TRUE | 100.50000 | 10 | Bogdan | FALSE |
| 11 | Stefan | TRUE | 100.50000 | 11 | Bogdan | FALSE |
| 12 | Stefan | TRUE | 100.50000 | 12 | Bogdan | FALSE |
| 13 | Stefan | TRUE | 100.50000 | 13 | Bogdan | FALSE |
| 14 | Stefan | TRUE | 100.50000 | 14 | Bogdan | FALSE |
| 15 | Stefan | TRUE | 100.50000 | 15 | Bogdan | FALSE |
| 16 | Stefan | TRUE | 100.50000 | 16 | Bogdan | FALSE |
| 17 | Stefan | TRUE | 100.50000 | 17 | Bogdan | FALSE |
| 18 | Stefan | TRUE | 100.50000 | 18 | Bogdan | FALSE |
| 19 | Stefan | TRUE | 100.50000 | 19 | Bogdan | FALSE |
| 20 | Stefan | TRUE | 100.50000 | 20 | Bogdan | FALSE |
| 21 | Stefan | TRUE | 100.50000 | 21 | Bogdan | FALSE |
| 22 | Stefan | TRUE | 100.50000 | 22 | Bogdan | FALSE |
| 23 | Stefan | TRUE | 100.50000 | 23 | Bogdan | FALSE |
| 24 | Stefan | TRUE | 100.50000 | 24 | Bogdan | FALSE |
| 25 | Stefan | TRUE | 100.50000 | 25 | Bogdan | FALSE |
| 26 | Stefan | TRUE | 100.50000 | 26 | Bogdan | FALSE |
| 27 | Stefan | TRUE | 100.50000 | 27 | Bogdan | FALSE |
| 28 | Stefan | TRUE | 100.50000 | 28 | Bogdan | FALSE |
| 29 | Stefan | TRUE | 100.50000 | 29 | Bogdan | FALSE |
| 30 | Stefan | TRUE | 100.50000 | 30 | Bogdan | FALSE |
| 31 | Stefan | TRUE | 100.50000 | 31 | Bogdan | FALSE |
| 32 | Stefan | TRUE | 100.50000 | 32 | Bogdan | FALSE |
| 33 | Stefan | TRUE | 100.50000 | 33 | Bogdan | FALSE |
| 34 | Stefan | TRUE | 100.50000 | 34 | Bogdan | FALSE |
| 35 | Stefan | TRUE | 100.50000 | 35 | Bogdan | FALSE |
| 36 | Stefan | TRUE | 100.50000 | 36 | Bogdan | FALSE |
| 37 | Stefan | TRUE | 100.50000 | 37 | Bogdan | FALSE |
| 38 | Stefan | TRUE | 100.50000 | 38 | Bogdan | FALSE |
| 39 | Stefan | TRUE | 100.50000 | 39 | Bogdan | FALSE |
| 40 | Stefan | TRUE | 100.50000 | 40 | Bogdan | FALSE |
| 41 | Stefan | TRUE | 100.50000 | 41 | Bogdan | FALSE |
| 42 | Stefan | TRUE | 100.50000 | 42 | Bogdan | FALSE |
| 43 | Stefan | TRUE | 100.50000 | 43 | Bogdan | FALSE |
| 44 | Stefan | TRUE | 100.50000 | 44 | Bogdan | FALSE |
| 45 | Stefan | TRUE | 100.50000 | 45 | Bogdan | FALSE |
| 46 | Stefan | TRUE | 100.50000 | 46 | Bogdan | FALSE |
| 47 | Stefan | TRUE | 100.50000 | 47 | Bogdan | FALSE |
| 48 | Stefan | TRUE | 100.50000 | 48 | Bogdan | FALSE |
| 49 | Stefan | TRUE | 100.50000 | 49 | Bogdan | FALSE |
| 100 | Stefan | TRUE | 100.50000 | 100 | Bogdan | FALSE |
| 101 | Stefan | TRUE | 100.50000 | 101 | Bogdan | FALSE |
| 102 | Stefan | TRUE | 100.50000 | 102 | Bogdan | FALSE |
| 103 | Stefan | TRUE | 100.50000 | 103 | Bogdan | FALSE |
| 104 | Stefan | TRUE | 100.50000 | 104 | Bogdan | FALSE |
| 105 | Stefan | TRUE | 100.50000 | 105 | Bogdan | FALSE |
| 106 | Stefan | TRUE | 100.50000 | 106 | Bogdan | FALSE |
| 107 | Stefan | TRUE | 100.50000 | 107 | Bogdan | FALSE |
| 108 | Stefan | TRUE | 100.50000 | 108 | Bogdan | FALSE |
| 109 | Stefan | TRUE | 100.50000 | 109 | Bogdan | FALSE |
| 110 | Stefan | TRUE | 100.50000 | 110 | Bogdan | FALSE |
| 111 | Stefan | TRUE | 100.50000 | 111 | Bogdan | FALSE |
| 112 | Stefan | TRUE | 100.50000 | 112 | Bogdan | FALSE |
| 113 | Stefan | TRUE | 100.50000 | 113 | Bogdan | FALSE |
| 114 | Stefan | TRUE | 100.50000 | 114 | Bogdan | FALSE |
| 115 | Stefan | TRUE | 100.50000 | 115 | Bogdan | FALSE |
| 116 | Stefan | TRUE | 100.50000 | 116 | Bogdan | FALSE |
